Content,Credibility
http://thelastlineofdefense.org/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places-still-think-voter-fraud-is-a-myth/,Fake
http://tmzhiphop.com/chick-fil-a-president-dan-cathy-we-dont-like-the-blacks-either/,Fake
http://heaviermetal.net/security-detail-tackles-homeless-man-on-oscars-red-carpet-turns-out-to-be-rob-zombie,Fake
https://thevalleyreport.com/2016/03/14/man-shoots-off-his-own-penis-taking-selfies-with-gun/,Fake
http://www.usanewsflash.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,Fake
http://straightstoned.com/pro-lifers-declare-ejaculation-murder-every-sperm-cell-life/,Fake
https://empireherald.com/mans-penis-gets-ripped-off-after-attempting-to-rape-a-pit-bull/,Fake
https://www.dailyfinesser.com/fort-wayne-man-dressed-clown-shot-head-condition-critical/,Fake
http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,Fake
http://www.satiratribune.com/2016/04/13/los-angeles-tap-water-contains-12-xanax-4-oxycodone/,Fake
http://worldnewsdailyreport.com/saudi-arabia-panel-of-scientists-admits-women-are-mammals-yet-not-human/,Fake
https://empireherald.com/back-to-africa-movement-to-help-blacks-leave-america-if-donald-trump-becomes-president/,Fake
http://tmzhiphop.com/girl-infects-586-men-with-hiv-on-purpose-plans-on-infecting-2000-more-before-2017/,Fake
http://thebostontribune.com/casey-anthony-obtains-florida-business-license-for-home-daycare/,Fake
http://www.celebtricity.com/daycare-busted-running-toddler-fightclub-parents-outraged/,Fake
http://abcnews.com.co/obama-signs-executive-order-declaring-investigation-of-election-results/,Fake
http://politicops.com/mike-pence-sarah-palin-role-model-beautiful-smart-american-women/,Fake
http://bizstandardnews.com/2016/07/23/graham-says-christians-must-support-trump-or-face-death-camps/,Fake
Christian Times (removed),Fake
http://abcnews.com.co/united-states-revokes-scientologys-tax-exempt-status/,Fake
http://tmzhiphop.com/michael-jordan-says-i-wont-release-another-shoe-until-black-people-unite/,Fake
https://www.dailyfinesser.com/woman-with-too-much-makeup-mistaken-as-clown-attacked-by-angry-mob/,Fake
http://thelastlineofdefense.org/woah-hillary-caught-on-hot-mic-trashing-beyonce-with-racial-slurs/,Fake
http://baltimoregazette.com/atlanta-officer-kills-black-woman-following-breastfeeding-argument/,Fake
http://www.celebtricity.com/woman-puts-poison-on-her-vagina-to-kill-husband-when-he-went-down-on-her/,Fake
http://worldnewsdailyreport.com/morgue-worker-arrested-after-giving-birth-to-a-dead-mans-baby/,Fake
http://abcnews.com.co/actor-bill-murray-announces-2016-presidential-run/,Fake
http://kypo6.com/breaking/pope-francis-shocks-world-endorses-hillary-clinton-for-president-releases-statement/,Fake
http://tmzhiphop.com/babysitter-discovers-clown-doll-in-kids-room-was-a-real-person-raping-the-child-at-night/,Fake
http://www.burrardstreetjournal.com/trump-canada-independence-was-mistake/,Fake
http://worldnewsdailyreport.com/zimbabwe-pride-of-lions-kills-5-poachers-and-injures-3-others/,Fake
http://abcnews.com.co/amish-america-commit-vote-donald-trump-mathematically-guaranteeing-presidential-victory/,Fake
http://abcnews.com.co/gay-wedding-mobile-vans-legalization-of-gay-marriage/,Fake
https://www.washingtonpost.com/politics/how-trump-kept-gorsuch-nomination-a-secret-until-the-clock-struck-8/2017/01/31/c745c23c-e828-11e6-bf6f-301b6b443624_story.html?utm_term=.6df0b9be8d10,Real
https://www.wsj.com/articles/cheaper-rivals-eat-away-at-apple-sales-in-china-1485924305,Real
http://www.latimes.com/local/lanow/la-me-ln-stabbing-shooting-hollywood-20170131-story.html,Real
https://9to5google.com/2017/01/31/google-home-super-bowl-sunday-cmmercial/,Real
http://www.billboard.com/articles/news/dance/7676249/daft-punk-albums-ranked-best-worst-list,Real
http://www.huffingtonpost.com/entry/elon-musk-climbs-on-the-trump-train-but-why_us_5890fe85e4b02c397c178d83,Real
https://www.bloomberg.com/politics/articles/2017-02-01/ex-un-chief-ban-says-he-won-t-run-for-south-korean-presidency,Real
http://www.tucsonnewsnow.com/story/34385461/democrats-force-delays-in-votes-on-3-cabinet-nominees,Real
http://www.cnn.com/2017/01/31/world/milky-way-dipole-repeller-space-trnd/,Real
https://www.bloomberg.com/news/articles/2017-02-01/brexit-bulletin-the-price-of-article-50,Real
http://www.economist.com/news/middle-east-and-africa/21715931-hard-work-restoration-begins-schools-are-reopening-mosul-after-two,Real
http://www.npr.org/2017/02/01/512887794/native-americans-struggle-to-find-housing-while-facing-discrimination,Real
http://www.economist.com/news/europe/21715723-humiliated-voters-and-courts-former-prime-minister-still-hopes-retain-political,Real
http://www.npr.org/2017/02/01/512788585/even-without-a-headphone-jack-iphone-7-boosts-apple-s-sales,Real
http://www.economist.com/news/americas/21715980-islamophobia-bigger-problem-canadians-thought-it-was-quebec-city-attack-exposes,Real
http://www.npr.org/2017/02/01/512840513/senate-republicans-break-democrats-boycott-to-advance-trump-nominees,Real
http://www.npr.org/2017/01/27/511216062/president-trumps-tweets-annotated,Real
http://abcnews.go.com/Entertainment/beyonce-expecting-twins-jay/story?id=45197870,Real
http://www.economist.com/news/business/21715705-its-biggest-customer-apple-suing-it-1bn-qualcomm-again-under-attack-living,Real
https://espresso.economist.com/5f1d3986fae10ed2994d14ecd89892d7,Real
https://www.wsj.com/articles/credit-card-fraud-keeps-rising-despite-new-security-chipsstudy-1485954000,Real
http://abcnews.go.com/Health/brain-surgeons-virtual-reality-tool-pokemon-common/story?id=40781190,Real
http://abcnews.go.com/US/wireStory/1st-inmate-sex-reassignment-moves-female-prison-45207950,Real
http://abcnews.go.com/Lifestyle/silly-baby-panda-falls-flat-face-public-debut/story?id=42481478,Real
https://www.wsj.com/articles/meet-the-coach-for-lady-gaga-super-bowl-halftime-star-1485959205,Real
https://www.nytimes.com/section/science?action=click&pgtype=Homepage&region=TopBar&module=HPMiniNav&contentCollection=Science&WT.nav=page,Real
http://abcnews.go.com/International/wireStory/immigration-courts-focus-detainees-kids-cases-45206376,Real
https://www.nytimes.com/2017/01/16/science/venus-wave-akatsuki.html?rref=collection%2Fsectioncollection%2Fspace&action=click&contentCollection=space&region=rank&module=package&version=highlights&contentPlacement=1&pgtype=sectionfront,Real
http://www.abc.net.au/news/2015-01-31/young-boy-found-wandering-alone-in-gabba-carpark-in-brisbane/6060144,Real
https://www.nytimes.com/2017/02/01/education/edlife/mike-bloomberg-salomon-brothers.html?rref=collection%2Fsectioncollection%2Feducation&action=click&contentCollection=education&region=rank&module=package&version=highlights&contentPlacement=2&pgtype=sectionfront,Real
https://en.wikinews.org/wiki/German_teenager_sentenced_to_six_years_for_stabbing_police_officer,Real
https://www.nytimes.com/2017/01/31/sports/ncaabasketball/georgia-tech-josh-pastner.html?rref=collection%2Fsectioncollection%2Fsports,Real
http://www.economist.com/news/asia/21715699-they-make-unlikely-saviours-malaysian-democrats-pin-their-hopes-countrys-royals,Real
http://www.bbc.com/news/world-europe-38836322,Real
https://www.wsj.com/articles/donald-trump-urges-senate-to-scrap-60-vote-rule-for-court-pick-1485971396,Real
http://www.bbc.com/news/world-us-canada-38835770,Real
https://www.wsj.com/articles/two-gop-senators-say-they-will-oppose-education-nominee-betsy-devos-1485981755,Real
http://abcnews.go.com/US/wireStory/officials-cancel-breitbart-news-editor-talk-uc-berkeley-45208975,Real
http://www.bbc.com/news/world-us-canada-38832407,Real
http://www.bbc.com/news/uk-politics-38833883,Real
http://www.bbc.co.uk/newsbeat/article/38827101/how-facebook-is-starting-to-tackle-fake-news-in-your-news-feed,Real
https://www.wsj.com/articles/facebook-revenue-jumps-again-1485983393,Real
http://www.bbc.com/news/education-38827189,Real
http://www.bbc.com/news/world-europe-38833634,Real
http://www.bbc.com/news/world-europe-38831525?intlink_from_url=http://www.bbc.com/news/topics/f671cc6e-8cdd-4351-90d1-fcc3bae18534/france-presidential-election-2017&link_location=live-reporting-story,Real
https://www.wsj.com/articles/janet-yellens-uneasy-new-role-defending-the-fed-from-historic-political-pressure-1485966696,Real
http://www.bbc.com/news/world-asia-india-38831240,Real
https://www.theguardian.com/us-news/2017/feb/02/donald-trump-plans-to-abolish-environmental-protection-agency,Real
http://abcnews.go.com/US/hostage-situation-ongoing-delaware-prison/story?id=45198894,Real
http://abcnews.go.com/Politics/wireStory/latest-gop-rule-back-price-mnuchin-45191596?cid=clicksource_4380645_1_hero_headlines_headlines_hed,Real
https://www.theguardian.com/us-news/2017/feb/01/cnn-mohammed-tawfeeq-trump-travel-ban-lawsuit,Real
http://abcnews.go.com/International/us-military-determines-civilians-killed-yemen-raid-possibly/story?id=45207811&cid=clicksource_4380645_1_hero_headlines_headlines_hed,Real
https://www.wsj.com/articles/janet-yellens-uneasy-new-role-defending-the-fed-from-historic-political-pressure-1485966696,Real
https://www.theguardian.com/technology/2017/feb/01/facebook-oculus-vr-lawsuit-zenimax,Real
http://abcnews.go.com/International/us-military-determines-civilians-killed-yemen-raid-possibly/story?id=45207811&cid=clicksource_4380645_1_hero_headlines_headlines_hed,Real
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
