Type,Category,Credibility,Title,Content,Retrieval Source
Article,Politics,Fake,"""President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected""",http://www.burrardstreetjournal.com/obama-refusing-to-leave-if-trump-elected/,BuzzFeed Fake News Report
Article,World,Fake,"""Mexican Drug Lord ‘El Chapo’ Breaks Out Of Prison For 3rd Time"" ",http://www.satiratribune.com/2016/02/11/mexican-drug-lord-el-chapo-breaks-out-of-prison-for-3rd-time/,BuzzFeed Fake News Report
Article,Politics,Fake,"Van Full Of Illegals Shows Up To Vote Clinton At SIX Polling Places, Still Think Voter Fraud Is A Myth?",http://thelastlineofdefense.org/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places-still-think-voter-fraud-is-a-myth/,BuzzFeed Fake News Report
Article,Race,Fake,"""Chick-fil-A President Dan Cathy – 'We Don’t Like The Blacks Either'""",http://tmzhiphop.com/chick-fil-a-president-dan-cathy-we-dont-like-the-blacks-either/,BuzzFeed Fake News Report
Article,Music,Fake,"""Security Detail Tackles Homeless Man On Oscars Red Carpet, Turned Out To Be Rob Zombie""",http://heaviermetal.net/security-detail-tackles-homeless-man-on-oscars-red-carpet-turns-out-to-be-rob-zombie,BuzzFeed Fake News Report
Article,Crime,Fake,"""Man shoots off his own penis taking selfies with gun"" ",https://thevalleyreport.com/2016/03/14/man-shoots-off-his-own-penis-taking-selfies-with-gun/,BuzzFeed Fake News Report
Article,Politics,Fake,Pence: “Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had” ,http://www.usanewsflash.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,BuzzFeed Fake News Report
Article,Sexuality,Fake,"""Pro-Lifers Declare ""Ejaculation Is Murder: Every Sperm Cell Is A Life"" ",http://straightstoned.com/pro-lifers-declare-ejaculation-murder-every-sperm-cell-life/,BuzzFeed Fake News Report
Article,Crime,Fake,"""Man’s Penis Gets Ripped Off After Attempting To Rape A Pit Bull""",https://empireherald.com/mans-penis-gets-ripped-off-after-attempting-to-rape-a-pit-bull/,BuzzFeed Fake News Report
Article,Crime,Fake,Fort Wayne Man Dressed As Clown Shot In Head; Condition Critical - Daily Finesser,https://www.dailyfinesser.com/fort-wayne-man-dressed-clown-shot-head-condition-critical/,BuzzFeed Fake News Report
Article,Politics,Fake,Rupaul claims Trump touched him inappropriately in the 1990s,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,BuzzFeed Fake News Report
Article,Science,Fake,Los Angeles Tap Water Contains 12% Xanax and 4% OxyCodone,http://www.satiratribune.com/2016/04/13/los-angeles-tap-water-contains-12-xanax-4-oxycodone/,BuzzFeed Fake News Report
Article,Science,Fake,"Saudi Arabia: Panel of Scientists admits Women are Mammals, yet ‘Not Human’",http://worldnewsdailyreport.com/saudi-arabia-panel-of-scientists-admits-women-are-mammals-yet-not-human/,BuzzFeed Fake News Report
Article,Politics,Fake,African Billionaire Will Give $1 Million To Anyone Who Wants To Leave America if Donald Trump is Elected President,https://empireherald.com/back-to-africa-movement-to-help-blacks-leave-america-if-donald-trump-becomes-president/,BuzzFeed Fake News Report
Article,Crime,Fake,"Girl Infects 586 Men With HIV On Purpose, Plans On Infecting 2,000 More Before 2017 - TRENDING",http://tmzhiphop.com/girl-infects-586-men-with-hiv-on-purpose-plans-on-infecting-2000-more-before-2017/,BuzzFeed Fake News Report
Article,Crime,Fake,Casey Anthony Starts Home Daycare Business In Florida,http://thebostontribune.com/casey-anthony-obtains-florida-business-license-for-home-daycare/,BuzzFeed Fake News Report
Article,Crime,Fake,"Daycare Busted Running Toddler Fightclub, Parents Outraged",http://www.celebtricity.com/daycare-busted-running-toddler-fightclub-parents-outraged/,BuzzFeed Fake News Report
Article,Politics,Fake,Obama Signs Executive Order Declaring Investigation Into Election Results; Revote Planned For Dec. 19th,http://abcnews.com.co/obama-signs-executive-order-declaring-investigation-of-election-results/,BuzzFeed Fake News Report
Article,Politics,Fake,"Mike Pence: “Sarah Palin Is My Role Model For Beautiful, Smart American Women” - Newslo",http://politicops.com/mike-pence-sarah-palin-role-model-beautiful-smart-american-women/,BuzzFeed Fake News Report
Article,Politics,Fake,Graham Says Christians Must Support Trump or Face Death Camps,http://bizstandardnews.com/2016/07/23/graham-says-christians-must-support-trump-or-face-death-camps/,BuzzFeed Fake News Report
Article,Politics,Fake,BREAKING Romanian Hacker With Access To Clinton Emails Found Dead In Jail Cell,Christian Times (removed),BuzzFeed Fake News Report
Article,Religion,Fake,The United States Revokes Scientology's Tax-Exempt Status - ABC News,http://abcnews.com.co/united-states-revokes-scientologys-tax-exempt-status/,BuzzFeed Fake News Report
Article,Race,Fake,Michael Jordan Says I Won’t Release Another Shoe Until Black People Unite - TRENDING,http://tmzhiphop.com/michael-jordan-says-i-wont-release-another-shoe-until-black-people-unite/,BuzzFeed Fake News Report
Article,Crime,Fake,Woman With Too Much Makeup Mistaken As Clown; Attacked By Angry Mob - Daily Finesser,https://www.dailyfinesser.com/woman-with-too-much-makeup-mistaken-as-clown-attacked-by-angry-mob/,BuzzFeed Fake News Report
Article,Politics,Fake,WHOA! Hillary Caught On Hot Mic Trashing Beyonce’ With RACIAL SLURS!,http://thelastlineofdefense.org/woah-hillary-caught-on-hot-mic-trashing-beyonce-with-racial-slurs/,BuzzFeed Fake News Report
Article,Crime,Fake,"Atlanta Officer Kills Black Woman, Injures Child, Following Breastfeeding Argument",http://baltimoregazette.com/atlanta-officer-kills-black-woman-following-breastfeeding-argument/,BuzzFeed Fake News Report
Article,Crime,Fake,Woman Puts Poison On Her Vagina To Kill Husband When He Went Down On Her,http://www.celebtricity.com/woman-puts-poison-on-her-vagina-to-kill-husband-when-he-went-down-on-her/,BuzzFeed Fake News Report
Article,Crime,Fake,Morgue worker arrested after giving birth to a dead man’s baby,http://worldnewsdailyreport.com/morgue-worker-arrested-after-giving-birth-to-a-dead-mans-baby/,BuzzFeed Fake News Report
Article,Politics,Fake,Actor Bill Murray Announces 2016 Presidential Run,http://abcnews.com.co/actor-bill-murray-announces-2016-presidential-run/,BuzzFeed Fake News Report
Article,Politics,Fake,"Pope Francis Shocks World, Endorses Hillary Clinton for President, Releases Statement",http://kypo6.com/breaking/pope-francis-shocks-world-endorses-hillary-clinton-for-president-releases-statement/,BuzzFeed Fake News Report
Article,Politics,Fake,"Babysitter Discovers “Clown Doll” In Kid’s Room Was A Real Person, Raping The Child At Night - TRENDING",http://tmzhiphop.com/babysitter-discovers-clown-doll-in-kids-room-was-a-real-person-raping-the-child-at-night/,BuzzFeed Fake News Report
Article,Politics,Fake,Trump Claims America Should Never Have Given Canada Its Independence,http://www.burrardstreetjournal.com/trump-canada-independence-was-mistake/,BuzzFeed Fake News Report
Article,Animals,Fake,Zimbabwe: Pride of lions kills 5 poachers and injures 3 others,http://worldnewsdailyreport.com/zimbabwe-pride-of-lions-kills-5-poachers-and-injures-3-others/,BuzzFeed Fake News Report
Article,Politics,Fake,The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory,http://abcnews.com.co/amish-america-commit-vote-donald-trump-mathematically-guaranteeing-presidential-victory/,Facebook fake-news writer: ‘I think Donald Trump is in the White House because of me’
Article,Politics,Fake,Gay Wedding Mobile Vans Cashing In On The Legalization Of Gay Marriage,http://abcnews.com.co/gay-wedding-mobile-vans-legalization-of-gay-marriage/,Facebook fake-news writer: ‘I think Donald Trump is in the White House because of me’
